,key,value
0,Alien/Alien,0
1,Altitude Green,1
2,Aluminum,2
3,Alvah/Alvah,3
4,Amarillo,4
5,Analog/Analog,5
6,Anthracite-Sail,6
7,Anthracite-Varsity Red-Black,7
8,Anthracite-White-Gunsmoke,8
9,Anthracite-White-Metallic Silver,9
10,Antlia/Antlia,10
11,Atlantis Green,11
12,Azael/Azael,12
13,Barn-Plum,13
14,Beluga/Solar Red,14
15,Bio Beige-Camellia-Opti Yellow,15
16,Birch,16
17,Black,17
18,Black-Action Red,18
19,Black-Anthracite,19
20,Black-Black,20
21,Black-Bleached Coral,21
22,Black-Bright Crimson-Pale Citron,22
23,Black-Cargo Khaki-Mushroom,23
24,Black-Cement Grey,24
25,Black-Cinder Orange-Photo Blue-Moon Particle-Desert Ore,25
26,Black-Clear-Glow,26
27,Black-Concord,27
28,Black-Cone,28
29,Black-Cone-White,29
30,Black-Court Purple,30
31,Black-Court Purple-University Gold,31
32,Black-Crimson Tint-Hyper Pink,32
33,Black-Dark Army-Dark Khaki,33
34,Black-Dark Concord,34
35,Black-Dark Grey,35
36,Black-Dark Khaki-Sequoia,36
37,Black-Dark Mocha-University Red,37
38,Black-Dark Sage-Baroque Brown,38
39,Black-Dark Stucco-White,39
40,Black-Desert Sand-Ridgerock,40
41,Black-Digital Pink-Club Gold,41
42,Black-Electric Green-Infrared 23,42
43,Black-Fire Red-Cement Grey,43
44,Black-Fossil,44
45,Black-Green Spark-Gum Light Brown,45
46,Black-Green-Yellow,46
47,Black-Gum,47
48,Black-Gym Red,48
49,Black-Hot Pink-Metallic Gold,49
50,Black-Hyper Crimson-White,50
51,Black-Hyper Jade,51
52,Black-Laser Blue-White,52
53,Black-Legend Blue,53
54,Black-Light Graphite,54
55,Black-Lucky Green-Varsity Red,55
56,Black-Metallic Gold,56
57,Black-Metallic Silver,57
58,Black-Metallic Silver-Fire Red,58
59,Black-Multi,59
60,Black-Multi-Color,60
61,Black-Muslin,61
62,Black-Navy,62
63,Black-Orange Flash,63
64,Black-Pale Ivory-Court Purple-Sail,64
65,Black-Parachute Beige-Petra Brown,65
66,Black-Phantom-Gym Red-University Red,66
67,Black-Pink Flash-Filament Green,67
68,Black-Red,68
69,Black-Sail,69
70,Black-Sail-University Gold,70
71,Black-Sail-University Red,71
72,Black-Solar Red,72
73,Black-Summit White,73
74,Black-Team Orange,74
75,Black-True Red,75
76,Black-University Red,76
77,Black-University Red-Dark Stucco-White,77
78,Black-University Red-International Blue,78
79,Black-University Red-Metallic Silver,79
80,Black-Vapour Green,80
81,Black-Varsity Red,81
82,Black-Varsity Red-Metallic Silver,82
83,Black-Varsity Red-White,83
84,Black-Varsity Red-Wolf Grey,84
85,Black-Varsity Royal-Midnight Navy,85
86,Black-Vivid Sulfur,86
87,Black-White,87
88,Black-White-Noble Red,88
89,Black-White-Photo Blue,89
90,Black-White-Varsity Royal,90
91,Black-White-Volt,91
92,Black/Black,92
93,Black/Dark Grey,93
94,Black/Grey,94
95,Black/Orange,95
96,Black/Red,96
97,Black/Trophy Gold,97
98,Black/University Red/Psychic Blue,98
99,Black/Varsity Red,99
100,Black/White,100
101,Blue Grey-White,101
102,Blue Lagoon,102
103,Blue Moon-Black,103
104,Blue Reef-Dark Oak,104
105,Blue-Black,105
106,Blue/Footwear White,106
107,Blue/Orange,107
108,Blush/Blush,108
109,Bold Orange-Black,109
110,Bold Orange/Dark Grey,110
111,Bone White/Bone White,111
112,Bone/Bone,112
113,Bones,113
114,Bordeaux,114
115,Bright Crimson,115
116,Bright Crimson-Black-C (Nerf),116
117,Bright Crimson-White,117
118,Burgundy-Desert Clay,118
119,Butter/Butter,119
120,Carbon White-Light Brown,120
121,Cargo Khaki-University Red,121
122,Cement Grey-Black,122
123,Cement Grey-Black-Infrared,123
124,Cement Grey-Dark Forest Green-White-Varsity Maize,124
125,Cement Grey-Metallic Gold,125
126,Cement Grey-White-Varsity Red,126
127,Chalk White/Clear Brown,127
128,Chalk White/Core Black,128
129,Chlorophyll-Matte Silver,129
130,Chocolate/Orange,130
131,Chrome,131
132,Chrome-Dark Charcoal-Varsity Maize,132
133,Cinder/Cinder,133
134,Cinnamon,134
135,Citrin/Citrin,135
136,Clay Green-Black,136
137,Clay Orange-Del Sol-Bright Magenta,137
138,Clay/Clay,138
139,Clear Granite/Vapour Pink,139
140,Clear Jade-Black-White,140
141,Clear Onyx/White,141
142,Cloud White/Cloud White,142
143,Cloud White/Gum,143
144,Clover,144
145,College Blue-Chrome-Deep Red,145
146,College Navy-Amarillo,146
147,Cone-Ice Blue,147
148,Cool Grey-Black,148
149,Cool Grey-Blue Chill-Solar Red,149
150,Cool Grey-Smokey Mauve,150
151,Core Black,151
152,Core Black/Active Red,152
153,Core Black/Carbon,153
154,Core Black/Core Black,154
155,Core Black/Footwear White,155
156,Core Black/Gold Metallic,156
157,Core Black/Grey,157
158,Core Black/Gum,158
159,Core Black/Lush Red,159
160,Core Black/Red,160
161,Core Black/Running White,161
162,Core White/Core White,162
163,Court Green,163
164,Court Purple-Hyper Violet,164
165,Court Purple-University Red,165
166,Court Purple-White,166
167,Crayon White/Gold Metallic,167
168,Crimson Tint-White-Hyper Pink-Mystic Green,168
169,Crystal White/Clear Grey,169
170,Cyber,170
171,Cyber-Purple-Red,171
172,Dark Concord-White,172
173,Dark Concord/Metallic Silver,173
174,Dark Grey-Black,174
175,Dark Grey-Gym Red,175
176,Dark Grey/Core Black,176
177,Dark Hazel-Mica Green-Starfish,177
178,Dark Mocha-University Red-Sail,178
179,Dark Mocha/Rope/Multi-Color,179
180,Dark Obsidian-Neutral Grey-Black,180
181,Dark Powder Blue-Cone,181
182,Dark Slate,182
183,Deep Maroon-Metallic Gold,183
184,Deep Red-Orange Blaze,184
185,Deep Royal-Blue Fury,185
186,Del Sol-Black-Challenge Red,186
187,Desert Sage/Desert Sage,187
188,Desert Sand/Desert Sand,188
189,Dynamic Yellow-Black,189
190,EQT Yellow/FTWR White,190
191,Earth Brown/Earth Brown,191
192,Earth/Earth,192
