,key,value
0,A Bathing Ape Bapesta,0
1,ACE 16 PureControl Ultra Boost,1
2,ASICS GT-II,2
3,ASICS Gel-Lyte III,3
4,Air Jordan 1 Mid,4
5,Air Max 1,5
6,Air Ship,6
7,Converse All Star Chuck 70,7
8,Converse Chuck Taylor All-Star,8
9,Converse Run Star Hike,9
10,Crocs Duet Max Clog,10
11,Diadora Intrepid,11
12,Diadora N9000,12
13,Fear Of God Military Sneaker,13
14,Fila Tennis 88,14
15,Jordan 1 Low,15
16,Jordan 1 Low SB,16
17,Jordan 1 Low SB QS,17
18,Jordan 1 Mid,18
19,Jordan 1 Mid Fearless,19
20,Jordan 1 Mid SE,20
21,Jordan 1 OG,21
22,Jordan 1 Retro,22
23,Jordan 1 Retro High,23
24,Jordan 1 Retro High NRG,24
25,Jordan 1 Retro High OG,25
26,Jordan 1 Retro High OG Defiant,26
27,Jordan 1 Retro Low OG SP,27
28,Jordan 10 OG,28
29,Jordan 10 Retro,29
30,Jordan 11 Retro,30
31,Jordan 11 Retro Low,31
32,Jordan 11 Retro Low Golf,32
33,Jordan 12 Retro,33
34,Jordan 13 OG,34
35,Jordan 13 Retro,35
36,Jordan 14 Retro,36
37,Jordan 14 Retro SE,37
38,Jordan 2 Retro,38
39,Jordan 23,39
40,Jordan 3 Retro,40
41,Jordan 3 Retro SE,41
42,Jordan 4 Retro,42
43,Jordan 5 Retro,43
44,Jordan 5 Retro JSP,44
45,Jordan 5 Retro Low Golf,45
46,Jordan 6 Retro,46
47,Jordan 6 Rings,47
48,Jordan 7 Retro,48
49,Jordan 8 Retro,49
50,Jordan 9 Retro,50
51,Jordan Delta,51
52,Jordan New Beginnings Pack,52
53,Jordan XXXIV,53
54,Louis Vuitton Don,54
55,New Balance 1500,55
56,New Balance 327,56
57,New Balance 827,57
58,New Balance 990v5,58
59,New Balance 992,59
60,New Balance 997.5,60
61,New Balance 998,61
62,New Balance 999,62
63,New Balance RC_1300,63
64,Nike ACG Air Deschutz,64
65,Nike Adapt Auto Max,65
66,Nike Adapt BB,66
67,Nike Air Fear Of God 1,67
68,Nike Air Fear Of God Moccasin,68
69,Nike Air Fear of God 1,69
70,Nike Air Foamposite One,70
71,Nike Air Foamposite Pro,71
72,Nike Air Force 1,72
73,Nike Air Force 1 DNA,73
74,Nike Air Force 1 Gore-tex High,74
75,Nike Air Force 1 High,75
76,Nike Air Force 1 Low,76
77,Nike Air Force 1 Low Retro,77
78,Nike Air Force 1 React,78
79,Nike Air Force 1 Type,79
80,Nike Air Huarache,80
81,Nike Air Max 1,81
82,Nike Air Max 1 AMS,82
83,Nike Air Max 1 NL,83
84,Nike Air Max 2 Light,84
85,Nike Air Max 270,85
86,Nike Air Max 270 React,86
87,Nike Air Max 270 React ENG,87
88,Nike Air Max 720,88
89,Nike Air Max 90,89
90,Nike Air Max 90 Leather,90
91,Nike Air Max 95,91
92,Nike Air Max 97,92
93,Nike Air Max 97 Ultra 17,93
94,Nike Air Max 98,94
95,Nike Air Max Lunar90 SP,95
96,Nike Air More Uptempo,96
97,Nike Air Presto,97
98,Nike Air Tailwind 79,98
99,Nike Air Tech Challenge II,99
100,Nike Air VaporMax,100
101,Nike Air VaporMax 2019,101
102,Nike Air VaporMax Flyknit 3,102
103,Nike Air VaporMax Flyknit 3.0,103
104,Nike Air VaporMax Plus,104
105,Nike Air Vapormax,105
106,Nike Air Yeezy 1,106
107,Nike Air Yeezy 2,107
108,Nike Air Zoom Alphafly Next%,108
109,Nike Air Zoom Generation,109
110,Nike Air Zoom Spiridon,110
111,Nike Blazer Mid,111
112,Nike Blazer Mid 77,112
113,Nike Blazer Mid 77 Vintage,113
114,Nike Classic Cortez,114
115,Nike Daybreak,115
