,key,value
0,A Bathing Ape Bapesta Kanye West College Dropout,0
1,A Bathing Ape Bapesta Ronnie Fieg Fiegsta Sand,1
2,ACE 16 PureControl Ultra Boost Kith Flamingos,2
3,"ASICS GT-II Ronnie Fieg \""High Risk\""",3
4,"ASICS Gel-Lyte III Afew \""Koi\"" (Regular Box)",4
5,"ASICS Gel-Lyte III Hanon \""Wildcats\""",5
6,ASICS Gel-Lyte III Ronnie Fieg Militia (Special Box),6
7,ASICS Gel-Lyte III Ronnie Fieg Super Green,7
8,"ASICS Gel-Lyte III Ronnie Fieg \""Cove\""",8
9,"ASICS Gel-Lyte III Ronnie Fieg \""Flamingo\""",9
10,"ASICS Gel-Lyte III Ronnie Fieg \""Homage\"" (Special Box)",10
11,"ASICS Gel-Lyte III Ronnie Fieg \""Leatherbacks\""",11
12,"ASICS Gel-Lyte III Ronnie Fieg \""Mint Leaf\""",12
13,"ASICS Gel-Lyte III Ronnie Fieg \""Salmon Toes\""",13
14,"ASICS Gel-Lyte III Woei \""Cervidae\""",14
15,Air Jordan 1 Mid Yellow Toe Black,15
16,Air Max 1 Black Hyper Grape,16
17,Air Ship New Beginnings,17
18,Converse All Star Chuck 70 Fear of God Essentials Grey,18
19,Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY  Polka Dot Black,19
20,Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY Black,20
21,Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY White,21
22,Converse Chuck Taylor All-Star 70s Hi Comme des Garcons Play Bright Blue,22
23,Converse Chuck Taylor All-Star 70s Hi Comme des Garcons Play Multi-Heart Green,23
24,Converse Chuck Taylor All-Star 70s Hi Comme des Garcons Play Multi-Heart White,24
25,Converse Chuck Taylor All-Star 70s Hi Fear Of God Black Natural,25
26,Converse Chuck Taylor All-Star 70s Hi Fear of God Black,26
27,Converse Chuck Taylor All-Star 70s Hi Fear of God Natural,27
28,Converse Chuck Taylor All-Star 70s Hi Off-White,28
29,Converse Chuck Taylor All-Star 70s Hi Scooby-Doo The Mystery Machine,29
30,Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY Black,30
31,Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY White,31
32,Converse Chuck Taylor All-Star 70s Ox Comme des Garcons Play Multi-Heart White,32
33,Converse Chuck Taylor All-Star 70s Renew Hi Carhartt WIP,33
34,Converse Run Star Hike Hi Black White Gum,34
